Objeto,Confianza,X1,Y1,X2,Y2,Tiempo
persona,0.9438772201538086,29,3,639,479,1743640727.4231248
telefono celular,0.535293698310852,508,185,595,332,1743640727.4234192
bottle,0.4243565797805786,27,352,57,405,1743640727.4236248
persona,0.9043284058570862,27,1,636,480,1743640727.5211086
bottle,0.4112069308757782,27,354,57,406,1743640727.521328
persona,0.9043284058570862,27,1,636,480,1743640727.5886195
bottle,0.4112069308757782,27,354,57,406,1743640727.5888388
persona,0.9087514281272888,27,1,639,479,1743640727.658933
bottle,0.3869761824607849,27,352,57,405,1743640727.6591375
persona,0.8820238709449768,33,0,639,479,1743640727.7258177
bottle,0.4282056987285614,28,354,57,405,1743640727.726033
persona,0.9179031848907471,32,1,639,479,1743640727.7995112
bottle,0.45624616742134094,28,354,57,405,1743640727.7997398
persona,0.9179031848907471,32,1,639,479,1743640727.8662376
bottle,0.45624616742134094,28,354,57,405,1743640727.866457
persona,0.9269860982894897,33,2,639,479,1743640727.9330451
bottle,0.30962178111076355,28,353,57,406,1743640727.9332736
telefono celular,0.30192750692367554,459,168,532,298,1743640727.9334285
persona,0.9322917461395264,42,2,639,479,1743640727.9992895
bottle,0.48112982511520386,28,353,57,406,1743640727.9995234
telefono celular,0.31176647543907166,457,167,531,298,1743640727.9996817
persona,0.9322917461395264,42,2,639,479,1743640728.0692346
bottle,0.48112982511520386,28,353,57,406,1743640728.069459
telefono celular,0.31176647543907166,457,167,531,298,1743640728.069618
persona,0.9338674545288086,45,2,638,479,1743640728.1329818
bottle,0.4804115295410156,28,352,57,405,1743640728.1332276
persona,0.9290919899940491,46,1,639,479,1743640728.202394
bottle,0.42093536257743835,27,353,57,405,1743640728.202623
persona,0.9290919899940491,46,1,639,479,1743640728.2745895
bottle,0.42093536257743835,27,353,57,405,1743640728.2748275
persona,0.9248809218406677,31,1,639,479,1743640728.3476493
bottle,0.49846023321151733,28,352,58,405,1743640728.3478813
telefono celular,0.30959561467170715,448,160,525,294,1743640728.3480446
persona,0.9222322702407837,28,2,639,479,1743640728.4219606
bottle,0.4496121406555176,28,353,57,405,1743640728.4221716
persona,0.9222322702407837,28,2,639,479,1743640728.495775
bottle,0.4496121406555176,28,353,57,405,1743640728.4959726
persona,0.9414543509483337,30,1,639,479,1743640728.5658252
bottle,0.42936971783638,28,353,58,406,1743640728.5660315
persona,0.9277010560035706,26,1,639,479,1743640728.6349957
bottle,0.4853209853172302,28,352,57,405,1743640728.635203
persona,0.9203934073448181,27,0,640,479,1743640728.7043414
bottle,0.48189496994018555,28,353,58,405,1743640728.704579
persona,0.9050637483596802,28,1,640,479,1743640728.7962823
bottle,0.4160846173763275,28,352,57,405,1743640728.7965076
telefono celular,0.2740868330001831,444,155,525,289,1743640728.7966619
persona,0.9050637483596802,28,1,640,479,1743640728.8677952
bottle,0.4160846173763275,28,352,57,405,1743640728.8680015
telefono celular,0.2740868330001831,444,155,525,289,1743640728.8681412
persona,0.9218893051147461,29,2,639,479,1743640728.940477
bottle,0.522757887840271,27,353,57,405,1743640728.9406984
telefono celular,0.3641529381275177,446,154,527,291,1743640728.9408553
persona,0.9218893051147461,29,2,639,479,1743640729.0105953
bottle,0.522757887840271,27,353,57,405,1743640729.0108223
telefono celular,0.3641529381275177,446,154,527,291,1743640729.0109816
persona,0.9190634489059448,27,1,639,479,1743640729.0798748
bottle,0.5387302041053772,28,353,57,404,1743640729.0801034
telefono celular,0.338869571685791,446,156,527,291,1743640729.0802634
persona,0.9248192310333252,24,1,635,479,1743640729.148
bottle,0.48353317379951477,27,352,57,405,1743640729.1482282
telefono celular,0.4044601321220398,446,156,526,288,1743640729.1483839
persona,0.929998517036438,28,2,639,479,1743640729.2127113
bottle,0.4459497034549713,28,352,57,405,1743640729.212921
